Občina,Površina [km²],Število prebivalcev,AMBROŽIČ,BABIČ,BAJC,BERGANT,BEVC,BEZJAK,BIZJAK,BLATNIK,BLAŽIČ,BOGATAJ,BOŽIČ,BREGAR,BREZNIK,BUKOVEC,BUČAR,CERAR,CVETKO,DEBELJAK,DEMŠAR,DOLENC,DOLINAR,DOLINŠEK,ERJAVEC,ERŽEN,FILIPIČ,FRAS,FURLAN,GAJŠEK,GODEC,GOLOB,GOMBOC,GORENC,GORIŠEK,GORJUP,GREGORIČ,GRUDEN,HAFNER,HORVAT,HOZJAN,HOČEVAR,HREN,HRIBAR,HRIBERNIK,HROVAT,HUMAR,IVANČIČ,JAMNIK,JANEŽIČ,JARC,JAVORNIK,JAZBEC,JELEN,JENKO,JEREB,JERIČ,JERMAN,JUG,KALAN,KASTELIC,KAUČIČ,KAVČIČ,KLEMENČIČ,KNEZ,KOBAL,KOCJAN,KOCJANČIČ,KODRIČ,KOGOVŠEK,KOKALJ,KOKOL,KOLAR,KOLARIČ,KOLENC,KOREN,KOROŠEC,KOS,KOSI,KOTNIK,KOVAČ,KOVAČIČ,KOČEVAR,KOŠIR,KOŽELJ,KRAJNC,KRALJ,KRAMAR,KRAMBERGER,KRANJC,KRANJEC,KRAŠOVEC,KRISTAN,KRIVEC,KUHAR,KUMER,LAH,LAVRIČ,LAZAR,LEBAN,LEBAR,LESJAK,LESKOVAR,LEŠNIK,LIKAR,LOGAR,MAJCEN,MARKOVIČ,MAROLT,MAVRIČ,MAČEK,MEDVED,MEGLIČ,MESARIČ,MIHELIČ,MIKLAVČIČ,MIKLIČ,MLAKAR,MLINAR,MLINARIČ,MOHORIČ,MOČNIK,MRAK,NEMEC,NOVAK,OBLAK,PAPEŽ,PAVLIN,PAVLIČ,PERKO,PETEK,PETRIČ,PETROVIČ,PEČNIK,PINTAR,PINTARIČ,PIRC,PIRNAT,PODGORŠEK,POGAČNIK,POTOČNIK,POVŠE,PRIMOŽIČ,PUŠNIK,RAJH,RAMŠAK,RESNIK,RIBIČ,ROZMAN,ROŽIČ,ROŽMAN,RUPNIK,RUS,RUTAR,SEVER,SIMONIČ,SITAR,SKOK,STOPAR,SUŠNIK,TAVČAR,TOMAŽIČ,TOMŠIČ,TOPLAK,TRATNIK,TRČEK,TURK,URŠIČ,VESEL,VIDIC,VIDMAR,VIDOVIČ,VODOPIVEC,VOLK,VOVK,ZADRAVEC,ZAJC,ZAKRAJŠEK,ZALAR,ZALOKAR,ZALOŽNIK,ZEMLJIČ,ZORKO,ZORMAN,ZUPAN,ZUPANC,ZUPANČIČ,ZVER,ČEH,ČERNE,ČUK,ŠINKOVEC,ŠMID,ŠTRUKELJ,ŠULIGOJ,ŠUŠTAR,ŠUŠTERŠIČ,ŽAGAR,ŽELEZNIK,ŽIBERT,ŽIŽEK,ŽNIDARŠIČ
Ajdovščina,245.2,19418.0,7.0,1.0,60.0,2.0,0.0,0.0,74.0,0.0,5.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,67.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,12.0,3.0,2.0,81.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,1.0,3.0,0.0,6.0,35.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,68.0,6.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,16.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,15.0,1.0,1.0,8.0,3.0,0.0,2.0,29.0,3.0,0.0,5.0,0.0,0.0,24.0,0.0,5.0,4.0,0.0,14.0,116.0,1.0,51.0,29.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,0.0,0.0,8.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
Apače,53.5,3533.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
Beltinci,62.2,8059.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,4.0,21.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
Benedikt,24.1,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Bistrica ob Sotli,31.1,1336.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bled,191.6,10606.0,42.0,1.0,5.0,4.0,0.0,0.0,9.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,9.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,5.0,0.0,9.0,0.0,3.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,9.0,0.0,0.0,8.0,2.0,1.0,3.0,4.0,5.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,13.0,13.0,6.0,0.0,0.0,6.0,13.0,1.0,3.0,0.0,5.0,12.0,0.0,0.0,2.0,0.0,1.0,9.0,3.0,2.0,0.0,7.0,5.0,2.0,3.0,5.0,2.0,0.0,2.0,0.0,2.0,3.0,2.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,6.0,0.0,12.0,2.0,1.0,1.0,7.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,20.0,53.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,6.0,5.0,1.0,0.0,4.0,1.0,0.0,9.0,5.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,0.0,28.0,5.0,0.0,0.0,2.0,11.0,0.0,3.0,0.0,3.0,19.0,0.0,0.0,0.0,1.0,69.0,9.0,19.0,2.0,1.0,21.0,7.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Bloke,75.1,1563.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0
Bohinj,333.7,5145.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,2.0,0.0,4.0,2.0,14.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,2.0,3.0,20.0,24.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Borovnica,42.3,4579.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,4.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,10.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
Bovec,367.3,3073.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0
Braslovče,54.8,5629.0,1.0,1.0,0.0,2.0,0.0,1.0,17.0,7.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,2.0,17.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,3.0,6.0,0.0,9.0,14.0,12.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,13.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,0.0,4.0,2.0,2.0,1.0,5.0,7.0,1.0,4.0,2.0,15.0,2.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,6.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,6.0,4.0,8.0,0.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brda,72.0,5619.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brezovica,91.1,12671.0,5.0,5.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,2.0,4.0,5.0,0.0,3.0,7.0,0.0,1.0,0.0,1.0,2.0,9.0,4.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,1.0,4.0,1.0,1.0,0.0,3.0,11.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0,6.0,1.0,3.0,3.0,0.0,0.0,3.0,4.0,15.0,0.0,13.0,2.0,1.0,6.0,3.0,1.0,6.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,7.0,1.0,50.0,11.0,0.0,3.0,1.0,8.0,2.0,13.0,0.0,2.0,0.0,1.0,4.0,6.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,10.0,3.0,9.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,1.0,0.0,17.0,5.0,10.0,0.0,3.0,23.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,14.0,0.0,9.0,0.0,3.0,0.0,4.0,3.0,2.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,9.0,16.0,7.0,1.0,4.0,2.0,0.0
Brežice,268.1,24051.0,3.0,3.0,1.0,2.0,5.0,0.0,11.0,3.0,6.0,0.0,9.0,1.0,0.0,0.0,2.0,1.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,8.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,13.0,6.0,1.0,4.0,0.0,29.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,25.0,2.0,2.0,8.0,35.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,10.0,3.0,0.0,0.0,1.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,32.0,0.0,0.0,3.0,7.0,0.0,1.0,5.0,3.0,13.0,0.0,10.0,14.0,0.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,2.0,20.0,6.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,3.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,1.0,1.0
Cankova,69.4,5877.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,23.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
